pitcher,game_year,pitch_type,pitch_name,n,ivb_in,hb_in,velo,spin,name,is_bowlan
421685,2015,CH,Changeup,290,9.756413793103448,-12.614482758620689,84.1048275862069,1639.6357142857144,"Harang, Aaron",False
421685,2015,CU,Curveball,132,-8.437272727272727,4.247272727272727,74.2189393939394,1990.4132231404958,"Harang, Aaron",False
421685,2015,FF,4-Seam Fastball,995,17.9044824120603,-7.65081407035176,89.59718592964823,2348.531762295082,"Harang, Aaron",False
421685,2015,SI,Sinker,928,13.01327586206897,-15.048232758620689,89.91788793103449,2250.8925438596493,"Harang, Aaron",False
421685,2015,SL,Slider,487,1.968542094455852,2.926324435318275,81.68439425051335,2008.8575,"Harang, Aaron",False
425532,2015,CH,Changeup,343,5.921632653061224,-13.61597667638484,83.93877551020408,1644.0268656716419,"Williams, Jerome",False
425532,2015,CU,Curveball,47,-8.251914893617021,10.475744680851061,73.66170212765957,2182.9302325581393,"Williams, Jerome",False
425532,2015,FF,4-Seam Fastball,331,12.581510574018125,-9.641691842900302,90.77643504531721,2146.691588785047,"Williams, Jerome",False
425532,2015,SI,Sinker,664,6.782530120481927,-16.621987951807228,90.43162650602409,2040.6738131699847,"Williams, Jerome",False
425532,2015,SL,Slider,75,-4.902400000000001,5.1568,79.756,2048.5476190476193,"Williams, Jerome",False
429781,2015,CH,Changeup,75,4.678400000000001,-12.945599999999999,84.16933333333333,1583.3698630136987,"Correia, Kevin",False
429781,2015,CU,Curveball,60,-15.466000000000001,10.192000000000002,76.37833333333333,2239.7118644067796,"Correia, Kevin",False
429781,2015,FF,4-Seam Fastball,83,13.737831325301205,-4.875180722891567,88.90120481927711,2319.864197530864,"Correia, Kevin",False
429781,2015,SI,Sinker,73,10.643835616438356,-11.745205479452057,88.50136986301371,2345.8082191780823,"Correia, Kevin",False
429781,2015,SL,Slider,104,8.810769230769232,4.3015384615384615,86.76057692307693,2449.2178217821784,"Correia, Kevin",False
430661,2015,CH,Changeup,38,6.925263157894738,-15.10421052631579,86.65526315789474,1827.0526315789473,"McGowan, Dustin",False
430661,2015,FF,4-Seam Fastball,243,17.075061728395063,-4.1792592592592595,94.44897119341563,2333.8702928870293,"McGowan, Dustin",False
430661,2015,SI,Sinker,75,12.2496,-14.0384,93.32,2170.1666666666665,"McGowan, Dustin",False
430661,2015,SL,Slider,112,2.0925000000000002,6.209999999999999,87.89910714285715,2206.0,"McGowan, Dustin",False
445213,2021,CH,Changeup,56,10.731428571428571,-17.17071428571429,86.81607142857142,2176.410714285714,"Kintzler, Brandon",False
445213,2021,SI,Sinker,380,10.644947368421054,-16.018736842105262,92.04473684210527,1968.957894736842,"Kintzler, Brandon",False
445213,2021,SL,Slider,71,3.552676056338028,0.9650704225352112,85.35915492957747,2350.211267605634,"Kintzler, Brandon",False
449097,2015,FF,4-Seam Fastball,357,14.191932773109244,-13.457142857142857,91.71680672268909,2103.7797101449273,"Papelbon, Jonathan",False
449097,2015,SL,Slider,109,-1.4014678899082567,2.875596330275229,80.03486238532109,1610.6666666666667,"Papelbon, Jonathan",False
450203,2016,CU,Curveball,70,-11.826857142857143,15.550285714285714,81.37142857142857,2993.257575757576,"Morton, Charlie",False
450203,2016,FF,4-Seam Fastball,33,6.461818181818181,-6.032727272727271,91.62121212121212,2327.1290322580644,"Morton, Charlie",False
450203,2016,SI,Sinker,155,2.640774193548387,-19.626580645161294,93.93741935483871,2096.696774193548,"Morton, Charlie",False
450212,2018,SI,Sinker,146,9.456164383561644,-14.99013698630137,89.0527397260274,2063.6164383561645,"Neshek, Pat",False
450212,2018,SL,Slider,221,2.8745701357466062,3.860090497737557,81.12171945701358,2169.4928909952605,"Neshek, Pat",False
450212,2019,SI,Sinker,104,10.411153846153844,-15.785769230769231,88.46153846153847,2099.0,"Neshek, Pat",False
450212,2019,SL,Slider,174,3.487586206896552,3.706896551724138,81.56206896551724,2233.809523809524,"Neshek, Pat",False
451532,2015,CH,Changeup,57,5.4926315789473685,-15.317894736842106,84.85964912280701,1620.701754385965,"Billingsley, Chad",False
451532,2015,FF,4-Seam Fastball,175,14.075657142857143,-3.242057142857143,91.72,2245.1337209302324,"Billingsley, Chad",False
451532,2015,SI,Sinker,169,11.78414201183432,-12.654674556213015,90.7940828402367,2056.7904191616767,"Billingsley, Chad",False
451532,2015,SL,Slider,51,-14.070588235294117,10.505882352941178,77.16666666666667,2611.2549019607845,"Billingsley, Chad",False
453172,2019,CH,Changeup,43,3.524651162790698,-10.456744186046514,84.44186046511628,1494.1162790697674,"Hughes, Jared",False
453172,2019,SI,Sinker,265,-0.44196226415094353,-16.53101886792453,91.33094339622642,1941.5171102661598,"Hughes, Jared",False
453178,2021,CH,Changeup,37,9.635675675675675,-14.500540540540543,86.8891891891892,1849.4864864864865,"Kennedy, Ian",False
