game_date,stand,pitch_type,pitch_name,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,sz_top,sz_bot,balls,strikes
2026-08-30,R,FF,4-Seam Fastball,95.2,2103.0,-0.89,1.06,0.8187915524100288,2.2546567533361777,6,hit_into_play,field_out,3.112057087,1.570570866,2,0
2026-08-30,R,SL,Slider,85.5,2039.0,-0.08,-0.19,1.0095954013417945,1.2045081461359972,14,ball,,3.112057087,1.570570866,1,0
2026-08-30,R,SL,Slider,86.3,2026.0,-0.02,0.14,0.9947915052393648,1.9420666223334284,14,ball,,3.112057087,1.570570866,0,0
2026-08-30,R,FS,Split-Finger,88.2,1304.0,-0.92,0.03,0.0497767161953466,1.261128803399739,14,foul_tip,strikeout,3.120833333,1.575,3,2
2026-08-30,R,SL,Slider,85.6,1904.0,-0.02,0.02,0.3038113571194115,2.305375213804008,6,called_strike,,3.120833333,1.575,3,1
2026-08-30,R,FF,4-Seam Fastball,95.9,2024.0,-0.9,1.26,1.1399974209370516,2.952216865756715,12,ball,,3.120833333,1.575,2,1
2026-08-30,R,FF,4-Seam Fastball,94.8,1944.0,-0.84,1.13,-0.0302209218051711,3.051993713896425,2,foul_tip,,3.120833333,1.575,2,0
2026-08-30,R,FF,4-Seam Fastball,96.3,2032.0,-1.0,1.1,-0.326012013858066,3.779833981090536,11,ball,,3.120833333,1.575,1,0
2026-08-30,R,SL,Slider,85.5,1941.0,-0.11,-0.03,-0.8872048626105183,3.100170185449343,11,ball,,3.120833333,1.575,0,0
2026-08-30,R,SL,Slider,86.2,1929.0,-0.03,0.04,0.5040072605040677,1.9404681039704237,9,hit_into_play,field_out,3.220882546,1.625492126,2,2
2026-08-30,R,FS,Split-Finger,88.9,1255.0,-1.24,-0.2,0.4291076630785646,1.1130105758519475,14,ball,,3.220882546,1.625492126,1,2
2026-08-30,R,FF,4-Seam Fastball,96.2,1836.0,-0.88,1.1,-0.7259654188163663,4.647496050615757,11,ball,,3.220882546,1.625492126,0,2
2026-08-30,R,FF,4-Seam Fastball,96.0,2006.0,-0.57,1.19,-0.3995657661096499,2.736334542511924,1,foul,,3.220882546,1.625492126,0,1
2026-08-30,R,FF,4-Seam Fastball,95.4,2015.0,-0.71,1.27,0.4865671039226544,2.633180554740202,6,called_strike,,3.220882546,1.625492126,0,0
2026-08-30,R,SL,Slider,84.0,1840.0,-0.06,0.03,-0.0647288733378696,3.032379812854185,2,hit_into_play,grounded_into_double_play,3.202452428,1.616190945,0,0
2026-08-28,R,FS,Split-Finger,88.1,1445.0,-0.83,-0.02,0.6680984707713467,1.755932669115841,9,hit_into_play,field_out,3.112057087,1.570570866,0,1
2026-08-28,R,FS,Split-Finger,88.5,1373.0,-1.05,-0.06,0.2460384647829485,2.1602129681125404,5,called_strike,,3.112057087,1.570570866,0,0
2026-08-28,R,SL,Slider,86.6,2034.0,0.0,0.25,0.4792937556162417,2.4101804273142684,6,hit_into_play,field_out,3.07519685,1.551968504,0,1
2026-08-28,R,FF,4-Seam Fastball,94.3,2003.0,-0.49,1.41,-0.2077256880908301,2.7177025960080807,2,foul,,3.07519685,1.551968504,0,0
2026-08-28,R,FF,4-Seam Fastball,94.4,1982.0,-0.54,1.18,0.3034622156421724,2.95064954192655,3,hit_into_play,sac_bunt,3.234924541,1.63257874,0,0
2026-08-28,R,FF,4-Seam Fastball,94.5,1937.0,-0.48,1.34,0.1655385577128334,4.946941809608925,12,ball,walk,3.202452428,1.616190945,3,2
2026-08-28,R,FS,Split-Finger,87.6,1065.0,-0.96,-0.09,1.1875384705398386,0.925753155105742,14,ball,,3.202452428,1.616190945,2,2
2026-08-28,R,FS,Split-Finger,87.9,1319.0,-0.9,-0.04,1.2312661432629834,0.5623030842955159,14,ball,,3.202452428,1.616190945,1,2
2026-08-28,R,FF,4-Seam Fastball,95.1,2130.0,-0.52,1.32,0.6664217644836179,3.058258812871439,3,called_strike,,3.202452428,1.616190945,1,1
2026-08-28,R,FF,4-Seam Fastball,94.8,2103.0,-0.8,1.44,-0.034491608881134,2.890483722741923,2,foul,,3.202452428,1.616190945,1,0
2026-08-28,R,FF,4-Seam Fastball,94.0,2042.0,-0.75,1.33,0.4251965409312382,0.8964780557508262,14,ball,,3.202452428,1.616190945,0,0
2026-08-23,R,FF,4-Seam Fastball,94.8,1741.0,-0.47,1.15,-0.2019045266542728,2.7888807388295547,2,hit_into_play,field_out,3.255109908,1.642765748,2,0
2026-08-23,R,FF,4-Seam Fastball,95.9,1843.0,-0.69,1.11,0.8079160608251849,3.274038448484817,3,ball,,3.255109908,1.642765748,1,0
2026-08-23,R,FF,4-Seam Fastball,93.7,1691.0,-0.67,1.06,1.1804528094828977,3.184684282818353,12,ball,,3.255109908,1.642765748,0,0
2026-08-23,L,FF,4-Seam Fastball,94.8,1773.0,-0.89,1.07,0.7101889157927783,2.448287139671579,6,hit_into_play,field_out,3.031666667,1.53,3,2
2026-08-23,L,FF,4-Seam Fastball,95.4,1917.0,-1.12,1.28,0.9723235837288584,2.541004120773165,12,ball,,3.031666667,1.53,2,2
2026-08-23,L,FS,Split-Finger,87.8,1302.0,-0.93,-0.06,0.6356904623106641,1.7301545340721134,9,called_strike,,3.031666667,1.53,2,1
2026-08-23,L,FF,4-Seam Fastball,95.0,1929.0,-0.86,1.3,-0.3993543858476295,2.6133969637484324,1,called_strike,,3.031666667,1.53,2,0
2026-08-23,L,FF,4-Seam Fastball,94.5,1840.0,-1.01,0.81,-0.2985461869513877,3.284728805176594,11,ball,,3.031666667,1.53,1,0
2026-08-23,L,FS,Split-Finger,87.2,991.0,-1.05,0.24,-1.5641448687045023,2.2526074468836743,13,ball,,3.031666667,1.53,0,0
2026-08-23,R,FS,Split-Finger,88.4,1095.0,-0.76,0.15,0.9556543492900004,1.6467483707581092,14,hit_into_play,field_out,3.278805774,1.654724409,0,2
2026-08-23,R,FS,Split-Finger,86.9,1001.0,-1.0,-0.08,-0.1605961638995352,1.3491637658424307,13,swinging_strike,,3.278805774,1.654724409,0,1
2026-08-23,R,FF,4-Seam Fastball,94.8,1964.0,-0.83,0.96,0.0452335768402053,2.7293746928564646,5,foul,,3.278805774,1.654724409,0,0
2026-08-19,R,SL,Slider,86.8,2011.0,-0.11,0.07,0.931876509188277,1.5515918793660877,14,hit_into_play,field_out,3.255109908,1.642765748,1,2
2026-08-19,R,SL,Slider,85.1,1905.0,-0.05,0.02,0.1153142020692404,0.8762966086558874,14,ball,,3.255109908,1.642765748,0,2
2026-08-19,R,FS,Split-Finger,88.3,1127.0,-0.96,-0.08,-0.5659223493246545,1.443496600863749,13,foul,,3.255109908,1.642765748,0,1
2026-08-19,R,FF,4-Seam Fastball,94.9,2054.0,-0.47,1.45,0.3542628970148745,2.30927088602957,6,called_strike,,3.255109908,1.642765748,0,0
2026-08-19,L,FF,4-Seam Fastball,95.5,1863.0,-0.79,0.99,0.0838086122752415,2.3304087614177678,5,hit_into_play,field_out,3.137508202,1.583415354,1,0
2026-08-19,L,FS,Split-Finger,86.7,808.0,-0.9,0.02,-1.0585683467792393,2.7018598207482025,11,ball,,3.137508202,1.583415354,0,0
2026-08-19,L,FS,Split-Finger,87.4,1373.0,-0.91,-0.03,-0.49067363468865,1.411808817798252,7,hit_into_play,field_out,2.959350394,1.493503937,0,1
2026-08-19,L,FF,4-Seam Fastball,94.6,2014.0,-0.54,1.23,-0.7075950554439966,2.7150797326271707,1,called_strike,,2.959350394,1.493503937,0,0
2026-08-15,L,FS,Split-Finger,88.1,1407.0,-0.85,0.45,-0.081962833095459,1.316719917202379,13,hit_into_play,field_out,3.083095472,1.555954724,0,0
2026-08-15,R,SL,Slider,84.0,1981.0,0.12,0.07,-0.2669374728085075,2.438994506786401,5,hit_into_play,field_out,3.115567585,1.57234252,0,0
2026-08-15,R,SL,Slider,86.9,2051.0,0.0,0.03,0.2460242275397581,2.730411640530125,2,hit_into_play,field_out,3.132242454,1.580757874,1,2
2026-08-15,R,FF,4-Seam Fastball,95.4,1900.0,-0.65,1.21,-0.255546228882363,2.47506628459797,5,foul,,3.132242454,1.580757874,1,1
2026-08-15,R,SL,Slider,85.1,2015.0,-0.12,0.07,0.5487415397086024,0.2214281906940223,14,blocked_ball,,3.132242454,1.580757874,0,1
2026-08-15,R,FF,4-Seam Fastball,95.4,,-0.7,1.18,-0.2108961064325901,1.6196979424048028,8,called_strike,,3.132242454,1.580757874,0,0
2026-08-15,L,FS,Split-Finger,88.7,1353.0,-0.92,-0.28,-0.4944040669367885,2.084752094848231,7,hit_into_play,single,3.476271326,1.754379921,0,1
2026-08-15,L,FS,Split-Finger,88.0,1366.0,-1.04,-0.21,-0.2453414241497571,2.889920806351293,5,called_strike,,3.476271326,1.754379921,0,0
2026-08-15,R,FF,4-Seam Fastball,95.6,2037.0,-0.82,1.43,0.045345309618294,3.0331422476682075,2,hit_into_play,field_out,3.299868766,1.665354331,1,2
2026-08-15,R,SL,Slider,86.1,2144.0,-0.01,0.14,1.1214799001952511,0.2454779528953983,14,ball,,3.299868766,1.665354331,0,2
2026-08-15,R,FS,Split-Finger,88.8,1371.0,-1.2,-0.09,-0.3003543632900616,1.3075527253943582,13,foul,,3.299868766,1.665354331,0,1
2026-08-15,R,SL,Slider,87.4,2104.0,0.02,0.16,0.7720053968913471,1.829681398274112,9,called_strike,,3.299868766,1.665354331,0,0
2026-08-15,L,FS,Split-Finger,88.8,1380.0,-0.88,-0.09,0.1725904976874397,0.7834463440575137,14,swinging_strike,strikeout,3.305134514,1.668011811,1,2
2026-08-15,L,FS,Split-Finger,88.3,1265.0,-1.08,-0.19,-1.6241722825742106,1.922256113613186,13,ball,,3.305134514,1.668011811,0,2
2026-08-15,L,SL,Slider,84.7,2122.0,0.06,-0.08,-0.6353301261784955,2.8689835734230344,1,foul,,3.305134514,1.668011811,0,1
2026-08-15,L,FS,Split-Finger,89.2,1223.0,-1.05,-0.25,-0.8713799778497704,2.157220046635054,13,foul,,3.305134514,1.668011811,0,0
2026-08-15,L,FS,Split-Finger,88.2,1282.0,-1.15,0.06,-0.1311732894977217,1.7748816398779064,8,hit_into_play,field_out,3.205962927,1.617962598,0,1
2026-08-15,L,FF,4-Seam Fastball,95.3,2152.0,-0.66,1.4,-0.4472868623592393,1.5923104229981724,7,called_strike,,3.205962927,1.617962598,0,0
