game_year,game_date,cum_pa,cum_woba
2022,2022-04-08,1,0.0
2022,2022-04-08,2,0.0
2022,2022-04-08,3,0.2946666666666667
2022,2022-04-08,4,0.53625
2022,2022-04-10,5,0.42899999999999994
2022,2022-04-10,6,0.35749999999999993
2022,2022-04-10,7,0.3064285714285714
2022,2022-04-12,8,0.26812499999999995
2022,2022-04-12,9,0.23833333333333329
2022,2022-04-12,10,0.21449999999999997
2022,2022-04-13,11,0.27536363636363637
2022,2022-04-13,12,0.32608333333333334
2022,2022-04-13,13,0.301
2022,2022-04-13,14,0.27949999999999997
2022,2022-04-14,15,0.26086666666666664
2022,2022-04-14,16,0.2445625
2022,2022-04-14,17,0.2301764705882353
2022,2022-04-14,18,0.21738888888888888
2022,2022-04-15,19,0.20594736842105263
2022,2022-04-15,20,0.19565
2022,2022-04-15,21,0.2191428571428571
2022,2022-04-15,22,0.20918181818181816
2022,2022-04-16,23,0.2000869565217391
2022,2022-04-16,24,0.19174999999999998
2022,2022-04-16,25,0.18407999999999997
2022,2022-04-16,26,0.177
2022,2022-04-16,27,0.17044444444444443
2022,2022-04-18,28,0.16435714285714284
2022,2022-04-18,29,0.15868965517241376
2022,2022-04-18,30,0.15339999999999998
2022,2022-04-19,31,0.14845161290322578
2022,2022-05-08,32,0.14381249999999998
2022,2022-05-08,33,0.16624242424242425
2022,2022-05-08,34,0.1613529411764706
2022,2022-05-08,35,0.15674285714285713
2022,2022-05-08,36,0.15238888888888888
2022,2022-05-08,37,0.14827027027027026
2022,2022-05-08,38,0.14436842105263156
2022,2022-05-09,39,0.14066666666666666
2022,2022-05-09,40,0.13715
2022,2022-05-09,41,0.1338048780487805
2022,2022-05-09,42,0.14702380952380953
2022,2022-05-09,43,0.1436046511627907
2022,2022-05-11,44,0.1403409090909091
2022,2022-05-11,45,0.13722222222222222
2022,2022-05-11,46,0.1342391304347826
2022,2022-05-11,47,0.13138297872340426
2022,2022-05-13,48,0.14706249999999998
2022,2022-05-13,49,0.1621020408163265
2022,2022-05-13,50,0.17264
2022,2022-05-13,51,0.18276470588235294
2022,2022-05-13,52,0.17925
2022,2022-05-15,53,0.17586792452830188
2022,2022-05-15,54,0.1726111111111111
2022,2022-05-15,55,0.16947272727272727
2022,2022-05-15,56,0.16644642857142858
2022,2022-05-17,57,0.1635263157894737
2022,2022-05-17,58,0.16070689655172413
2022,2022-05-19,59,0.15798305084745762
2022,2022-05-19,60,0.15535
2022,2022-05-19,61,0.16729508196721313
2022,2022-05-21,62,0.1645967741935484
2022,2022-05-21,63,0.16198412698412698
2022,2022-05-22,64,0.159453125
2022,2022-05-22,65,0.157
2022,2022-05-25,66,0.15462121212121213
2022,2022-05-25,67,0.15231343283582088
2022,2022-05-25,68,0.15007352941176472
2022,2022-05-25,69,0.14789855072463767
2022,2022-05-26,70,0.15562857142857142
2022,2022-05-26,71,0.15343661971830985
2022,2022-05-26,72,0.15130555555555555
2022,2022-05-27,73,0.14923287671232877
2022,2022-05-27,74,0.14721621621621622
2022,2022-05-27,75,0.14525333333333335
2022,2022-05-31,76,0.1433421052631579
2022,2022-05-31,77,0.15785714285714286
2022,2022-05-31,78,0.15583333333333332
2022,2022-06-01,79,0.1650506329113924
2022,2022-06-01,80,0.1629875
2022,2022-06-01,81,0.1718888888888889
2022,2022-06-01,82,0.16979268292682928
